"","geo_value","time_value","part_work_prop_7d","part_work_sample_size","full_work_prop_7d","full_work_sample_size","full_work_std","res_visit_by_pop","bar_visit_by_pop"
"15926","39171",2020-07-20,0.0735514866032515,252,0.0364545615455161,252,0.00167865634365372,82.2335663732063,NA
"15927","39173",2020-07-20,0.076232544806345,615,0.0393214265118071,615,0.00113143341854192,235.167108587389,49.2572524823063
"15928","39175",2020-07-20,0.0801684467552103,154,0.0432294091460823,154,0.00252986673732517,NA,NA
"15929","39001",2020-07-21,0.0721976480418747,154,0.0404318055368017,154,0.00221654091155728,181.209735037312,NA
"15930","39003",2020-07-21,0.0702839131028134,641,0.0380212174835738,641,0.00110771672532192,423.655901104161,NA
"15931","39005",2020-07-21,0.0772714951241117,308,0.038851875137287,308,0.00152145310648815,267.23740425474,NA
"15932","39007",2020-07-21,0.0647713039886856,651,0.0419856520995169,651,0.00122650526301612,122.776386808501,NA
"15933","39009",2020-07-21,0.0613894778583001,329,0.0384715225113059,329,0.00158449721941559,113.299633955029,NA
"15934","39011",2020-07-21,0.0762575651903506,287,0.034011968856875,287,0.00147765949038202,140.67052481753,NA
"15935","39013",2020-07-21,0.0726177499938292,476,0.041831146313856,476,0.00143705302201368,754.588181223077,NA
"15936","39015",2020-07-21,0.0828862947076858,224,0.0372377954703074,224,0.00174667686552998,327.652463126814,NA
