,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
84,Westerly Elementary School,3904354,3,4,0.0,1.0,0,CUYAHOGA,367.0,Bay Village City School District,Bay Village,2475.0,2020-08-24,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,2021-01-28,2020-08-26,2475.0,2434.0,2475.0,98343.0
85,Beachwood High School,3904355,9,12,0.0,3.0,0,CUYAHOGA,645.0,Beachwood City School District,Beachwood,1655.0,2020-08-24,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-14,2020-08-26,1655.0,1500.0,1655.0,98343.0
86,Beachwood Middle School,3904355,6,8,0.0,2.0,0,CUYAHOGA,327.0,Beachwood City School District,Beachwood,1655.0,2020-08-24,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-14,2020-08-26,1655.0,1500.0,1655.0,98343.0
87,Bryden Elementary School,3904355,KG,2,0.0,1.0,0,CUYAHOGA,232.0,Beachwood City School District,Beachwood,1655.0,2020-08-24,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-14,2020-08-26,1655.0,1500.0,1655.0,98343.0
88,Hilltop Elementary School,3904355,3,5,0.0,1.0,0,CUYAHOGA,296.0,Beachwood City School District,Beachwood,1655.0,2020-08-24,Online Only,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-09-14,2020-08-26,1655.0,1500.0,1655.0,98343.0
89,Bellaire High School,3904357,9,12,0.0,3.0,0,BELMONT,322.0,Bellaire Local School District,Bellaire,1275.0,2020-08-31,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,No,2020-12-28,2020-09-02,1275.0,1160.0,1275.0,11695.0
90,Bellaire Elementary School,3904357,PK,4,0.0,1.0,0,BELMONT,445.0,Bellaire Local School District,Bellaire,1275.0,2020-08-31,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,No,2020-12-28,2020-09-02,1275.0,1160.0,1275.0,11695.0
91,Bellaire Middle School,3904357,5,8,0.0,2.0,0,BELMONT,393.0,Bellaire Local School District,Bellaire,1275.0,2020-08-31,Hybrid,No,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Unknown,No,2020-12-28,2020-09-02,1275.0,1160.0,1275.0,11695.0
92,Bellefontaine High School,3904358,9,12,0.0,3.0,0,LOGAN,716.0,Bellefontaine City Schools,Bellefontaine,2578.0,2020-09-14,On Premises,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-09-14,2578.0,2354.0,2578.0,6706.0
93,Bellefontaine Middle School,3904358,6,8,0.0,2.0,0,LOGAN,531.0,Bellefontaine City Schools,Bellefontaine,2578.0,2020-09-14,On Premises,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-09-14,2578.0,2354.0,2578.0,6706.0
94,Bellefontaine Elementary School,3904358,KG,2,0.0,1.0,0,LOGAN,555.0,Bellefontaine City Schools,Bellefontaine,2578.0,2020-09-14,On Premises,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-09-14,2578.0,2354.0,2578.0,6706.0
95,Bellefontaine Intermediate School,3904358,3,5,0.0,1.0,0,LOGAN,552.0,Bellefontaine City Schools,Bellefontaine,2578.0,2020-09-14,On Premises,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-09-14,2578.0,2354.0,2578.0,6706.0
96,Bellevue High School,3904359,9,12,0.0,3.0,0,SANDUSKY,616.0,Bellevue City School District,Bellevue,2072.0,2020-09-01,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2021-01-11,2020-09-02,2072.0,616.0,2072.0,9287.0
97,Bellevue Middle School,3904359,6,8,0.0,2.0,0,HURON,401.0,Bellevue City School District,Bellevue,2072.0,2020-09-01,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2021-01-11,2020-09-02,2072.0,401.0,2072.0,10312.0
98,Bellevue Elementary School,3904359,PK,5,0.0,1.0,0,ERIE,906.0,Bellevue City School District,Bellevue,2072.0,2020-09-01,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2021-01-11,2020-09-02,2072.0,906.0,2072.0,14910.0
99,Brook Park Memorial Elementary School,3904360,PK,4,0.0,1.0,0,CUYAHOGA,556.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
100,Brookview Elementary School,3904360,PK,4,0.0,1.0,0,CUYAHOGA,437.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
101,Middleburg Heights Junior High,3904360,7,9,0.0,2.0,0,CUYAHOGA,1385.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
102,Big Creek Elementary School,3904360,PK,4,0.0,1.0,0,CUYAHOGA,665.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
103,Berea-Midpark High School,3904360,10,12,0.0,3.0,0,CUYAHOGA,1428.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
104,Grindstone Elementary School,3904360,PK,4,0.0,1.0,0,CUYAHOGA,761.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
105,Ford Intermediate School,3904360,5,6,0.0,2.0,0,CUYAHOGA,882.0,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
106,Unassigned,3904360,KG,5,0.0,1.0,0,CUYAHOGA,,Berea City School District,Berea,6175.0,2020-09-09,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-30,2020-09-09,6175.0,6114.0,6175.0,98343.0
107,Belpre High School,3904361,7,12,0.0,3.0,0,WASHINGTON,395.0,Belpre City School District,Belpre,1140.0,2020-08-24,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2021-01-06,2020-08-26,1140.0,962.0,1140.0,5312.0
108,Belpre Elementary School,3904361,KG,6,0.0,1.0,0,WASHINGTON,567.0,Belpre City School District,Belpre,1140.0,2020-08-24,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2021-01-06,2020-08-26,1140.0,962.0,1140.0,5312.0
109,Bexley High School,3904362,9,12,0.0,3.0,0,FRANKLIN,721.0,Bexley City School District,Columbus,2476.0,2020-08-24,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2021-01-13,2020-08-26,2476.0,2385.0,2476.0,177683.0
110,Bexley Middle School,3904362,7,8,0.0,2.0,0,FRANKLIN,575.0,Bexley City School District,Columbus,2476.0,2020-08-24,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2021-01-13,2020-08-26,2476.0,2385.0,2476.0,177683.0
111,Cassingham Elementary School,3904362,PK,6,0.0,1.0,0,FRANKLIN,406.0,Bexley City School District,Columbus,2476.0,2020-08-24,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2021-01-13,2020-08-26,2476.0,2385.0,2476.0,177683.0
112,Maryland Elementary School,3904362,PK,6,0.0,1.0,0,FRANKLIN,297.0,Bexley City School District,Columbus,2476.0,2020-08-24,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2021-01-13,2020-08-26,2476.0,2385.0,2476.0,177683.0
113,Montrose Elementary School,3904362,PK,6,0.0,1.0,0,FRANKLIN,386.0,Bexley City School District,Columbus,2476.0,2020-08-24,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2021-01-13,2020-08-26,2476.0,2385.0,2476.0,177683.0
114,Bowling Green High School,3904363,9,12,0.0,3.0,0,WOOD,877.0,Bowling Green City School District,Bowling Green,3020.0,2020-09-08,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-09-09,3020.0,2930.0,3020.0,20781.0
115,Bowling Green Middle School,3904363,6,8,0.0,2.0,0,WOOD,716.0,Bowling Green City School District,Bowling Green,3020.0,2020-09-08,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-09-09,3020.0,2930.0,3020.0,20781.0
116,Conneaut Elementary School,3904363,KG,5,0.0,1.0,0,WOOD,451.0,Bowling Green City School District,Bowling Green,3020.0,2020-09-08,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-09-09,3020.0,2930.0,3020.0,20781.0
117,Crim Elementary School,3904363,KG,5,0.0,1.0,0,WOOD,477.0,Bowling Green City School District,Bowling Green,3020.0,2020-09-08,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-09-09,3020.0,2930.0,3020.0,20781.0
118,Kenwood Elementary School,3904363,KG,5,0.0,1.0,0,WOOD,409.0,Bowling Green City School District,Bowling Green,3020.0,2020-09-08,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-09-09,3020.0,2930.0,3020.0,20781.0
119,Brooklyn High School,3904365,8,12,0.0,3.0,0,CUYAHOGA,570.0,Brooklyn City School District,Brooklyn,1270.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for high school students only,Yes,Yes,Unknown,Yes,2020-10-13,2020-09-09,1270.0,1336.0,1336.0,98343.0
120,Brooklyn Elementary School,3904365,PK,3,0.0,1.0,0,CUYAHOGA,386.0,Brooklyn City School District,Brooklyn,1270.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for high school students only,Yes,Yes,Unknown,Yes,2020-10-13,2020-09-09,1270.0,1336.0,1336.0,98343.0
121,Brooklyn Intermediate School,3904365,3,7,0.0,1.0,0,CUYAHOGA,380.0,Brooklyn City School District,Brooklyn,1270.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for high school students only,Yes,Yes,Unknown,Yes,2020-10-13,2020-09-09,1270.0,1336.0,1336.0,98343.0
122,Applewood Elementary School,3904366,KG,5,0.0,1.0,0,MEDINA,445.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
123,Brunswick High School,3904366,9,12,0.0,3.0,0,MEDINA,2260.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
124,Brunswick Memorial Elementary School,3904366,KG,5,0.0,1.0,0,MEDINA,421.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
125,Edwards Middle School,3904366,6,8,0.0,2.0,0,MEDINA,505.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
126,C R Towslee Elementary School,3904366,KG,5,0.0,1.0,0,MEDINA,433.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
127,Crestview Elementary School,3904366,KG,5,0.0,1.0,0,MEDINA,437.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
128,Hickory Ridge Elementary School,3904366,KG,5,0.0,1.0,0,MEDINA,432.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
129,Walter Kidder Elementary School,3904366,PK,5,0.0,1.0,0,MEDINA,518.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
130,Visintainer Middle School,3904366,6,8,0.0,2.0,0,MEDINA,568.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
131,Huntington Elementary School,3904366,KG,5,0.0,1.0,0,MEDINA,355.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
132,Willetts Middle School,3904366,6,8,0.0,2.0,0,MEDINA,643.0,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
133,Unassigned,3904366,KG,5,0.0,1.0,0,MEDINA,,Brunswick City Schools,Brunswick,7567.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,7567.0,7017.0,7567.0,28109.0
134,Bryan Middle School,3904367,4,8,,2.0,0,WILLIAMS,943.0,Bryan City School District,Bryan,2047.0,2020-08-19,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-12,2020-08-26,2047.0,1964.0,2047.0,6076.0
135,Bryan High School,3904367,9,12,,3.0,0,WILLIAMS,1021.0,Bryan City School District,Bryan,2047.0,2020-08-19,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-12,2020-08-26,2047.0,1964.0,2047.0,6076.0
136,Lincoln Elementary School,3904367,2,3,,1.0,0,WILLIAMS,,Bryan City School District,Bryan,2047.0,2020-08-19,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-12,2020-08-26,2047.0,1964.0,2047.0,6076.0
137,Washington Elementary School,3904367,KG,4,,1.0,0,WILLIAMS,,Bryan City School District,Bryan,2047.0,2020-08-19,On Premises,Yes,No,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-12,2020-08-26,2047.0,1964.0,2047.0,6076.0
138,Bucyrus Secondary School,3904368,6,12,0.0,4.0,0,CRAWFORD,631.0,Bucyrus City School District,Bucyrus,1430.0,2020-08-31,On Premises,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-14,2020-09-02,1430.0,1267.0,1430.0,6701.0
139,Bucyrus Elementary School,3904368,PK,5,0.0,1.0,0,CRAWFORD,636.0,Bucyrus City School District,Bucyrus,1430.0,2020-08-31,On Premises,Yes,Unknown,No,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-14,2020-09-02,1430.0,1267.0,1430.0,6701.0
140,Memorial High School,3904370,8,12,0.0,3.0,0,MAHONING,412.0,Campbell City School District,Campbell,1146.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-06,2020-09-02,1146.0,1073.0,1146.0,23873.0
141,Campbell Elementary School,3904370,PK,7,0.0,1.0,0,MAHONING,661.0,Campbell City School District,Campbell,1146.0,2020-08-31,Hybrid,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-06,2020-09-02,1146.0,1073.0,1146.0,23873.0
142,Allen Elementary School,3904371,PK,2,0.0,1.0,0,STARK,245.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
143,Belden Elementary School,3904371,3,5,0.0,1.0,0,STARK,257.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
144,Belle Stone Elementary School,3904371,PK,2,0.0,1.0,0,STARK,366.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
145,Cedar Elementary School,3904371,3,5,0.0,1.0,0,STARK,414.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
146,Clarendon Elementary School,3904371,3,5,0.0,1.0,0,STARK,340.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
147,Crenshaw Middle School,3904371,6,8,0.0,2.0,0,STARK,283.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
148,Dueber Elementary School,3904371,PK,2,0.0,1.0,0,STARK,241.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
149,Gibbs Elementary School,3904371,KG,5,0.0,1.0,0,STARK,287.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
150,Harter Elementary School,3904371,PK,2,0.0,1.0,0,STARK,443.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
151,Hartford Middle School,3904371,6,8,0.0,2.0,0,STARK,389.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
152,Lehman Middle School,3904371,6,8,0.0,2.0,0,STARK,589.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
153,Mason Elementary School,3904371,3,5,0.0,1.0,0,STARK,232.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
154,McGregor Elementary School,3904371,PK,2,0.0,1.0,0,STARK,233.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
155,McKinley High School,3904371,9,12,0.0,3.0,0,STARK,2366.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
156,Barbara F Schreiber Elementary School,3904371,PK,2,0.0,1.0,0,STARK,291.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
157,Worley Elementary School,3904371,PK,2,0.0,1.0,0,STARK,251.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
158,Youtz Elementary School,3904371,3,5,0.0,1.0,0,STARK,345.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
159,Portage Collab Montessori Middle School,3904371,PK,8,0.0,1.0,0,STARK,213.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
160,Choices Alternative School,3904371,11,12,0.0,3.0,0,STARK,81.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
161,Canton Arts Academy @ Summit,3904371,KG,8,0.0,1.0,0,STARK,292.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
162,Canton City Digital Academy,3904371,7,12,0.0,3.0,0,STARK,55.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
163,Canton City Early College Academy,3904371,6,8,0.0,2.0,0,STARK,406.0,Canton City School District,Canton,10046.0,2020-09-08,Hybrid,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-28,2020-09-09,10046.0,8619.0,10046.0,59856.0
