,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
62,Taft Intermediate School,3904350,3,5,0.0,1.0,0,ASHLAND,520.0,Ashland City School District,Ashland,3365.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-15,2020-09-09,3365.0,3260.0,3365.0,7452.0
63,Reagan Elementary School,3904350,PK,3,0.0,1.0,0,ASHLAND,595.0,Ashland City School District,Ashland,3365.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-15,2020-09-09,3365.0,3260.0,3365.0,7452.0
64,Lakeside High School,3904351,8,12,,3.0,0,ASHTABULA,964.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
65,Lakeside Junior High School,3904351,7,9,,2.0,0,ASHTABULA,471.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
66,Ontario Primary School,3904351,KG,3,,1.0,0,ASHTABULA,336.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
67,Erie Intermediate School,3904351,3,6,,1.0,0,ASHTABULA,410.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
68,Michigan Primary School,3904351,KG,3,,1.0,0,ASHTABULA,346.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
69,Huron Primary School,3904351,KG,3,,1.0,0,ASHTABULA,342.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
70,Superior Intermediate School,3904351,3,6,,1.0,0,ASHTABULA,383.0,Ashtabula Area City School District,Ashtabula,3504.0,2020-10-05,Hybrid,Yes,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,2020-08-28,2020-10-20,3504.0,3252.0,3504.0,12031.0
71,Athens High School,3904352,9,12,0.0,3.0,0,ATHENS,769.0,Athens City School District,The Plains,2665.0,2020-08-31,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,2020-10-07,2020-09-02,2665.0,2558.0,2665.0,7412.0
72,Athens Middle School,3904352,7,8,0.0,2.0,0,ATHENS,400.0,Athens City School District,The Plains,2665.0,2020-08-31,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,2020-10-07,2020-09-02,2665.0,2558.0,2665.0,7412.0
73,East Elementary School,3904352,KG,6,0.0,1.0,0,ATHENS,382.0,Athens City School District,The Plains,2665.0,2020-08-31,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,2020-10-07,2020-09-02,2665.0,2558.0,2665.0,7412.0
74,Morrison Elementary School,3904352,KG,6,0.0,1.0,0,ATHENS,408.0,Athens City School District,The Plains,2665.0,2020-08-31,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,2020-10-07,2020-09-02,2665.0,2558.0,2665.0,7412.0
75,The Plains Elementary School,3904352,KG,6,0.0,1.0,0,ATHENS,402.0,Athens City School District,The Plains,2665.0,2020-08-31,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,2020-10-07,2020-09-02,2665.0,2558.0,2665.0,7412.0
76,West Elementary School,3904352,KG,6,0.0,1.0,0,ATHENS,197.0,Athens City School District,The Plains,2665.0,2020-08-31,Online Only,Yes,Yes,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Pending,Yes,2020-10-07,2020-09-02,2665.0,2558.0,2665.0,7412.0
77,Barberton High School,3904353,9,12,0.0,3.0,0,SUMMIT,1400.0,Barberton City School District,Barberton,3700.0,2020-09-02,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-10-19,2020-09-02,3700.0,3841.0,3841.0,66890.0
78,Barberton Elementary School West,3904353,PK,5,0.0,1.0,0,SUMMIT,685.0,Barberton City School District,Barberton,3700.0,2020-09-02,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-10-19,2020-09-02,3700.0,3841.0,3841.0,66890.0
79,Barberton Middle School,3904353,5,8,0.0,2.0,0,SUMMIT,1095.0,Barberton City School District,Barberton,3700.0,2020-09-02,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-10-19,2020-09-02,3700.0,3841.0,3841.0,66890.0
80,Barberton Elementary School East,3904353,PK,4,0.0,1.0,0,SUMMIT,661.0,Barberton City School District,Barberton,3700.0,2020-09-02,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-10-19,2020-09-02,3700.0,3841.0,3841.0,66890.0
81,Bay High School,3904354,9,12,0.0,3.0,0,CUYAHOGA,810.0,Bay Village City School District,Bay Village,2475.0,2020-08-24,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,2021-01-28,2020-08-26,2475.0,2434.0,2475.0,98343.0
82,Bay Middle School,3904354,5,8,0.0,2.0,0,CUYAHOGA,776.0,Bay Village City School District,Bay Village,2475.0,2020-08-24,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,2021-01-28,2020-08-26,2475.0,2434.0,2475.0,98343.0
83,Normandy Elementary School,3904354,PK,2,0.0,1.0,0,CUYAHOGA,481.0,Bay Village City School District,Bay Village,2475.0,2020-08-24,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,2021-01-28,2020-08-26,2475.0,2434.0,2475.0,98343.0
